,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.9316441134622953,1.0,,1.0
AAGAB,,,1.0,
ABAT,,,1.0,
ABCA1,0.9095175657675657,,1.0,
ABCA5,1.0,1.0,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,,1.0,,
ABCC1,,,1.0,
ABCC9,1.0,,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,1.0,1.0,
ABTB1,,1.0,,
ACACA,,0.9897245611531326,,
ACKR3,1.0,1.0,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,1.0,,,
ACSL3,,1.0,,
ACSL4,0.6903973219762694,,0.8295327860545253,
ACSL5,,0.9897245611531326,1.0,1.0
ACSL6,,,1.0,
ACSS1,0.7485557920340529,,,1.0
ACSS3,1.0,,1.0,
ACTA2,,,1.0,
ACTB,,1.0,1.0,
ACTN1,,1.0,,
ACTN4,,1.0,1.0,
ACTR3,,,1.0,
ADA,1.0,,,1.0
ADA2,,1.0,,
ADAM17,1.0,,1.0,
ADAM19,0.9719151815926009,,1.0,
ADAMTS12,,1.0,,
ADAMTS4,,,1.0,
ADAMTS9,1.0,,,
ADAMTSL3,,,1.0,
ADARB2,1.0,,,
ADCY1,1.0,,1.0,
ADCY2,,1.0,,
ADCY7,,,1.0,
ADCY8,1.0,,1.0,
ADCYAP1R1,,1.0,1.0,
ADD2,,,1.0,
ADGRA2,,,1.0,
ADGRB1,1.0,,,
ADGRB2,,,1.0,
ADGRB3,,,1.0,
ADGRG5,,1.0,1.0,
ADGRL3,1.0,,1.0,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,,
AFF3,1.0,,1.0,
AGA,,,1.0,
AGAP2,1.0,,1.0,
AGFG2,,,1.0,
AGRN,1.0,,1.0,
AHI1,1.0,,,
AHRR,,,1.0,
AIF1,,1.0,1.0,
AIFM1,1.0,,1.0,
AJAP1,1.0,,1.0,
AK5,,1.0,,
AKAP12,,,1.0,
AKAP13,,,1.0,
AKAP5,,,1.0,
AKNA,,1.0,1.0,
AKR1B1,1.0,,1.0,
AKR1C1,1.0,,,
AKR1C2,1.0,,,
AKR7A2,,,1.0,
ALCAM,,1.0,,
ALDH2,,1.0,,
ALDH5A1,,1.0,,
ALDH6A1,,1.0,,
ALDOA,,1.0,,
ALDOC,,1.0,1.0,
ALKBH5,,1.0,1.0,
ALOX5AP,,1.0,1.0,1.0
ALPK1,,1.0,,1.0
ALPL,,0.9897245611531326,,
ALS2CL,1.0,1.0,,
ALYREF,,1.0,,1.0
AMER2,,,1.0,
AMIGO2,1.0,,,
AMMECR1,1.0,,1.0,
AMOT,,,1.0,
AMOTL1,1.0,,1.0,
AMOTL2,1.0,,,
AMPD2,,1.0,,
AMPH,,,1.0,
AMT,1.0,,,
ANGPT1,,1.0,,
ANGPTL2,,1.0,,
ANK1,1.0,,,
ANKDD1A,,,1.0,
ANKRD29,1.0,,1.0,
ANKRD33B,1.0,,1.0,
ANKRD36,,1.0,,
ANKRD37,1.0,,1.0,
ANKRD46,,1.0,,
ANKRD50,1.0,,1.0,
ANKS1B,,,1.0,
ANLN,,,1.0,
ANOS1,1.0,,,
ANP32B,,1.0,1.0,
ANTXR2,,,1.0,
ANXA1,,0.9897245611531326,0.8295327860545253,
ANXA11,,1.0,1.0,
ANXA2,,,1.0,
AOAH,,0.9897245611531326,0.8295327860545253,
AP1AR,1.0,1.0,,
AP1S2,,1.0,1.0,
AP5Z1,,1.0,,
APAF1,1.0,,1.0,
APBA1,,1.0,1.0,
APBB1IP,,1.0,1.0,1.0
APBB2,1.0,,,
APC2,1.0,,1.0,
APCDD1,0.952794952794953,,1.0,
APLN,,,1.0,
APLP1,,1.0,,
APLP2,,1.0,,
APMAP,,1.0,,
APOBEC3C,,1.0,1.0,
APOBEC3F,,1.0,,
APOL2,,1.0,1.0,
APOL3,,1.0,1.0,1.0
APOL6,,1.0,1.0,1.0
APOLD1,1.0,,,
APOO,1.0,,1.0,
APOOL,1.0,,1.0,
AQP1,,1.0,,1.0
AQP3,,1.0,1.0,1.0
ARAP1,1.0,,1.0,
ARAP2,,,1.0,
ARF6,,1.0,1.0,
ARFGEF3,,1.0,,
ARG2,1.0,1.0,,
ARHGAP20,,1.0,,
ARHGAP21,,,1.0,
ARHGAP27,,1.0,,
ARHGAP30,,1.0,1.0,1.0
ARHGAP33,,,1.0,
ARHGAP36,0.9991883116883118,,1.0,
ARHGAP9,,1.0,1.0,1.0
ARHGDIB,,1.0,1.0,1.0
ARHGEF1,1.0,1.0,1.0,
ARHGEF2,,1.0,,
ARHGEF3,,,1.0,
ARHGEF6,,1.0,1.0,
ARID5B,,1.0,,
ARL1,,0.9897245611531326,,
ARL4C,1.0,,1.0,
ARMCX2,1.0,,1.0,
ARMCX3,1.0,,1.0,
ARMCX4,1.0,1.0,,
ARPC5L,,1.0,,
ARPP19,,,1.0,
ARPP21,,1.0,,
ARRDC2,,1.0,1.0,
ARRDC3,,,1.0,
ARSD,1.0,,1.0,
ART3,,,,1.0
ARX,1.0,,,
ASAH1,1.0,1.0,,
ASAP1,1.0,,1.0,
ASB4,1.0,,1.0,
ASF1B,,1.0,1.0,
ASIC2,,1.0,,
ASPH,,1.0,1.0,
ASS1,,1.0,,
ASTN1,1.0,,1.0,
ASXL3,1.0,,1.0,
ATF3,1.0,1.0,,
ATG12,0.20496170496170496,,,
ATG4A,,,0.5451215451215451,
ATG9B,0.5881509794553273,,,
ATMIN,1.0,,,
ATP10A,,1.0,1.0,
ATP10B,1.0,,1.0,
ATP11A,1.0,,,
ATP11C,1.0,,1.0,
ATP13A3,0.9424407368332602,,,
ATP1A2,,1.0,,
ATP1A4,,,,1.0
ATP1B1,,0.9897245611531326,,
ATP1B3,1.0,,,
ATP2A2,1.0,1.0,,
ATP2B2,1.0,,1.0,
ATP6AP1,,1.0,,
ATP6AP2,0.6903973219762694,0.9897245611531326,0.8295327860545253,
ATP6V0D2,1.0,,,
ATP6V1A,0.5881509794553273,0.7831733483907398,,
ATP6V1B2,0.7928781744571218,,0.9344940773512201,
ATP6V1C1,0.9838161838161839,,1.0,
ATP6V1G2,,1.0,1.0,
ATP8A1,1.0,,1.0,
ATP9A,,1.0,,
ATRNL1,1.0,,1.0,
AXIN2,1.0,,1.0,
AZGP1,,1.0,,
B2M,,1.0,1.0,1.0
B3GALNT1,,1.0,,
B3GAT1,,,1.0,
B3GNT2,,1.0,1.0,
B3GNT9,,,1.0,
B4GALT1,,1.0,1.0,
B4GAT1,,1.0,,
BAALC,,1.0,,
BACE2,,,0.7787450644593501,
BAG1,,,1.0,
BAHCC1,1.0,,1.0,
BAIAP3,1.0,1.0,,
BAK1,,1.0,1.0,
BARHL1,1.0,,1.0,
BASP1,,1.0,,
BATF3,,1.0,,1.0
BAZ1A,,,1.0,
BCAN,,1.0,,
BCAT1,1.0,,1.0,
BCL11A,,,1.0,
BCL11B,1.0,1.0,,
BCL6,,1.0,1.0,1.0
BCLAF3,1.0,,1.0,
BCORL1,1.0,,,
BDNF,1.0,,,
BEX1,1.0,,1.0,
BEX2,1.0,,1.0,
BEX3,0.8919212655476392,,1.0,
BEX4,1.0,,1.0,
BGN,,,1.0,
BHLHB9,1.0,,,
BHLHE22,1.0,,1.0,
BHLHE41,,1.0,,
BIRC7,1.0,,,
BLCAP,1.0,1.0,,
BLM,,1.0,1.0,
BMP2,1.0,,,
BMP7,1.0,1.0,,
BMPR1B,,1.0,,
BNIP3,,0.9897245611531326,0.8295327860545253,
BNIP3L,,0.3464035964035964,,
BOC,1.0,1.0,1.0,
BRAT1,0.8843291539920753,,,
BRINP1,,1.0,,
BRINP3,0.7295247125755601,,,
BRMS1,,1.0,,
BRS3,1.0,,1.0,
BSPRY,,1.0,1.0,
BST2,,1.0,1.0,1.0
BTBD11,,1.0,,
BTBD3,1.0,1.0,,
BTBD6,1.0,,,
BTG1,,1.0,,
BTG2,1.0,1.0,1.0,1.0
BTN2A2,,1.0,,1.0
BTN3A1,,1.0,,1.0
BTN3A2,,1.0,,1.0
BTNL9,1.0,,1.0,
BUB3,1.0,,1.0,
BZW2,,,1.0,
C10orf90,0.6903973219762694,,,
C11orf87,1.0,,1.0,
C19orf57,,,1.0,
C1QL1,1.0,,,
C1QTNF1,,1.0,,
C1QTNF3,1.0,,1.0,
C1R,1.0,1.0,,1.0
C1S,,1.0,,1.0
C1orf61,1.0,,1.0,
C2CD2,,,1.0,
C2CD4C,,,1.0,
C3,,1.0,,1.0
C3AR1,,1.0,1.0,
C3orf18,,,1.0,
C3orf58,,1.0,,1.0
C3orf70,,,1.0,
C4orf19,1.0,,,
C6orf106,,,1.0,
C8orf34,,1.0,,
C8orf82,1.0,,,
CA10,1.0,,1.0,
CA12,1.0,,1.0,
CA2,,1.0,,
CA8,,,1.0,
CA9,1.0,,,
CABIN1,,,1.0,
CABLES1,,1.0,1.0,
CABP7,,,1.0,
CACHD1,1.0,,1.0,
CACNA1A,1.0,1.0,1.0,
CACNA1E,,1.0,1.0,
CACNA1G,1.0,1.0,1.0,
CACNA2D1,1.0,,1.0,
CACNA2D2,1.0,1.0,,1.0
CACNA2D3,,1.0,,
CACNA2D4,1.0,,,
CACNB2,1.0,1.0,,
CACNB4,,,1.0,
CACNG4,1.0,,,
CACNG7,,,1.0,
CACNG8,1.0,,,
CAD,1.0,,1.0,
CADM1,1.0,1.0,,
CADM2,1.0,,,
CADM3,,1.0,1.0,
CALB1,,1.0,,
CALB2,1.0,,,
CALHM2,,1.0,1.0,
CALY,,,1.0,
CAMK1D,,,1.0,
CAMK2A,1.0,1.0,1.0,
CAMK2N1,,,1.0,
CAMK2N2,1.0,,,
CANX,,1.0,,
CAP2,0.9564879564879566,,1.0,
CAPG,,1.0,1.0,
CARD8,,1.0,1.0,
CARMIL3,,,1.0,
CARTPT,1.0,,,1.0
CASC10,1.0,,1.0,
CASK,1.0,1.0,1.0,
CASKIN1,,1.0,,
CASP1,,1.0,1.0,1.0
CASP10,,1.0,,
CASP7,,1.0,,
CAV2,,,1.0,
CBLB,1.0,,,
CBLN1,,1.0,1.0,
CBLN2,1.0,,1.0,
CBLN4,1.0,,1.0,
CCDC136,,1.0,1.0,
CCDC152,1.0,,,
CCDC40,1.0,,,
CCDC80,,1.0,,
CCDC86,,,1.0,
CCDC88A,,1.0,,
CCDC88B,,1.0,1.0,
CCK,1.0,,1.0,
CCL2,1.0,1.0,1.0,1.0
CCL28,,1.0,1.0,
CCL4,,1.0,1.0,
CCL5,,1.0,1.0,1.0
CCM2,,,1.0,
CCNA2,,,1.0,
CCNB1,,1.0,1.0,
CCND1,,1.0,1.0,
CCND2,,1.0,,
CCND3,,1.0,,
CCNG2,1.0,,1.0,
CCNI,,1.0,,
CCNL1,,1.0,,
CCR2,,1.0,1.0,
CCR5,,1.0,1.0,
CCT7,1.0,,,
CCZ1,,1.0,1.0,
CD109,,1.0,,
CD2,,1.0,1.0,1.0
CD200,1.0,1.0,,
CD27,,1.0,1.0,1.0
CD274,,1.0,1.0,1.0
CD276,,,1.0,
CD300A,,1.0,1.0,
CD37,,1.0,1.0,1.0
CD3E,,1.0,1.0,1.0
CD4,,1.0,1.0,
CD44,1.0,1.0,,1.0
CD47,1.0,,,
CD48,,1.0,1.0,1.0
CD53,,1.0,1.0,1.0
CD6,,0.9897245611531326,0.8790084915084916,1.0
CD74,,1.0,1.0,1.0
CD82,1.0,,1.0,
CD83,1.0,,,
CD84,,1.0,1.0,1.0
CD8A,,1.0,1.0,1.0
CD9,,,1.0,
CD93,1.0,1.0,,
CD99L2,1.0,,1.0,
CDC25B,,1.0,,
CDC42SE1,,1.0,,
CDC7,,,1.0,
CDH12,1.0,,1.0,
CDH13,,1.0,,
CDH18,1.0,1.0,,
CDH19,,1.0,,
CDH4,1.0,1.0,1.0,
CDH6,,,1.0,
CDH8,1.0,,1.0,
CDK14,1.0,,1.0,
CDK16,1.0,,1.0,
CDK2,,1.0,,
CDK5RAP2,1.0,,,
CDK6,,1.0,,
CDKN1A,1.0,,,1.0
CDKN1C,,,,1.0
CDKN2C,,,1.0,
CDON,,1.0,1.0,
CDS1,,1.0,,
CDV3,1.0,,1.0,
CEBPA,,,1.0,
CEBPD,,1.0,,
CELF4,,1.0,,
CENPV,1.0,,1.0,
CEP126,,1.0,,
CEP170,,,1.0,
CEP19,1.0,,,
CEP290,,1.0,,
CEP41,0.730176073926074,,,
CEP63,,1.0,,
CER1,1.0,,,
CERK,,,1.0,
CERS2,,,1.0,
CES4A,,,1.0,
CETN2,,1.0,,
CFB,,,,1.0
CFL2,1.0,,,
CFLAR,0.7621111283083115,0.9897245611531326,0.8403957153957153,
CGAS,,,1.0,
CGNL1,1.0,,1.0,
CGREF1,,1.0,1.0,
CHD3,,,1.0,
CHD5,1.0,,1.0,
CHERP,,,1.0,
CHGB,,0.9897245611531326,0.8295327860545253,
CHI3L2,,1.0,,
CHL1,,1.0,,
CHM,1.0,,1.0,
CHN1,1.0,,,
CHPF,,1.0,,
CHPF2,,,1.0,
CHRD,1.0,,1.0,
CHRDL1,,,1.0,
CHRNB1,,,1.0,
CHRNB3,1.0,,,
CHST1,,1.0,1.0,
CHST11,,,1.0,
CHST15,1.0,,,1.0
CHST2,1.0,,1.0,
CHST3,1.0,,,
CHURC1,,1.0,,
CIB2,0.7485557920340529,,0.8790084915084916,
CIDEB,,0.9897245611531326,0.8790084915084916,
CISD3,,,1.0,
CISH,,1.0,,1.0
CLASP2,,1.0,,
CLCN5,1.0,,1.0,
CLDN19,1.0,,,
CLDN5,1.0,1.0,1.0,
CLEC2B,,1.0,1.0,1.0
CLIC1,,1.0,1.0,
CLK3,,,1.0,
CLMN,,,1.0,
CLOCK,,,0.8295327860545253,
CLSTN1,,1.0,1.0,
CLU,,1.0,,
CLYBL,1.0,,,
CMBL,1.0,1.0,,
CMPK2,,,1.0,
CMTM3,,1.0,,
CMTM4,,1.0,,
CMTM6,,,1.0,
CMTM7,,,0.5840587983445127,
CNEP1R1,,,1.0,
CNKSR2,1.0,1.0,1.0,
CNMD,,1.0,,
CNN2,1.0,1.0,,
CNN3,,1.0,,
CNR1,1.0,,,
CNTFR,1.0,,1.0,
CNTN1,1.0,,1.0,
CNTN2,1.0,1.0,1.0,
CNTN3,,1.0,,1.0
CNTN4,1.0,,1.0,
CNTN6,1.0,,,
CNTNAP1,,1.0,,
CNTNAP4,1.0,,1.0,
CNTNAP5,1.0,,1.0,
COG3,,0.9897245611531326,,
