,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.04111273342042573,0.014882553344091805,,0.004953379953379953
AAGAB,1.0,,1.0,
ABAT,,,1.0,
ABCA1,0.8698008399945808,,0.7777414075286415,
ABCA2,,0.4322097303552368,,
ABCA5,1.0,1.0,,
ABCA8,1.0,0.9822950771855883,0.9992913396355078,0.7384615384615385
ABCB1,0.30162906400530165,0.16251748251748252,,
ABCC1,,,0.27393296358813596,
ABCC9,0.6307479285420462,,,
ABCG1,0.6929251652869742,,,
ABI3,,0.5067155067155067,0.5652400696648484,
ABI3BP,0.07126207126207126,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,
ABTB1,,1.0,,
ACACA,,0.9458918882611518,,
ACADM,,,1.0,
ACADSB,1.0,,,
ACAN,0.04111273342042573,0.014882553344091805,,
ACKR1,,,0.016924252218369865,
ACKR3,0.06329197118670803,0.04416235937975068,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,0.3051625793561278,0.18746470920383965,,
ACSL3,,0.021106166560712014,,
ACSL4,0.10932249568613206,,0.03196803196803197,
ACSL5,,0.014882553344091805,0.016924252218369865,0.004953379953379953
ACSL6,,0.021106166560712014,0.016924252218369865,
ACSS1,1.0,,,1.0
ACSS3,1.0,,1.0,
ACTA2,0.07635221920936207,,0.03873050026896181,
ACTB,0.4542309990251879,0.35051312324039596,0.3945249063732476,
ACTG1,,,0.4270256059729744,
ACTN1,,0.3532988750380055,0.38606760651489086,
ACTN4,,1.0,1.0,
ACTR3,1.0,,1.0,
ACVR2A,,0.031093906093906096,,
ADA,0.04111273342042573,,0.03873050026896181,0.0080144574526597
ADA2,,0.16043058065529975,,
ADAM17,0.05528953804815874,,0.03873050026896181,
ADAM19,0.06329197118670803,,0.025174825174825177,
ADAM33,0.07126207126207126,,,
ADAMTS10,0.06329197118670803,,,
ADAMTS12,,0.031093906093906096,,
ADAMTS4,,,0.08528279538051527,
ADAMTS9,0.04111273342042573,,,
ADAMTSL3,0.47356132239853177,,0.41509635402765177,
ADARB2,1.0,,1.0,
ADCY1,0.07635221920936207,,0.07586933614330875,
ADCY2,0.17148626774295223,0.053123148038402276,,
ADCY7,,0.08580115536637277,0.08110010794574553,
ADCY8,0.18277059727836933,,0.09381922425400688,
ADCYAP1,,,0.281729612542467,
ADCYAP1R1,0.05528953804815874,0.014882553344091805,0.04993353753684332,
ADD2,,,1.0,
ADD3,0.5610228281035734,,,
ADGRA2,,,0.4281227754281647,
ADGRB1,0.929700551549291,0.7625512418615866,,
ADGRB2,1.0,,0.9609086142679133,
ADGRB3,,,0.4021688140252883,
ADGRG1,0.15857768605021352,,,
ADGRG5,,0.5178548724003269,0.6178169656430527,
ADGRL3,0.15857768605021352,,0.08528279538051527,
ADI1,0.28072937163846257,,,
ADM,,0.021106166560712014,0.07041909139811238,
ADRA2A,0.4871998749549769,,0.4379525799644143,
ADSS,1.0,,,
AFAP1L2,,0.26861523231759166,,
AFDN,,1.0,1.0,
AFF2,0.18719858821381663,0.10215384615384616,,
AFF3,0.28072937163846257,,0.18396987627756858,
AGA,,,0.8204343025395657,
AGAP1,,1.0,,
AGAP2,1.0,,1.0,
AGAP3,,1.0,,
AGFG2,1.0,,1.0,
AGRN,0.27933738735132463,,0.22280539417198855,
AHI1,1.0,,,
AHNAK2,,0.07073863636363636,,
AHRR,,,1.0,
AIF1,,0.014882553344091805,0.016924252218369865,
AIF1L,,0.5469338353953739,,
AIFM1,1.0,,1.0,
AJAP1,1.0,,1.0,
AK5,,1.0,,
AKAP12,,,1.0,
AKAP13,,,1.0,
AKAP5,,,0.7910560776802814,
AKNA,,1.0,1.0,
AKR1B1,1.0,1.0,1.0,
AKR1C1,1.0,,,
AKR1C2,1.0,,,
AKR7A2,,,1.0,
AKT3,,1.0,,
AKTIP,1.0,,,
ALCAM,,0.168385460693153,,
ALDH1B1,1.0,,,
ALDH2,1.0,1.0,,
ALDH5A1,1.0,1.0,,
ALDH6A1,,1.0,,
ALDOA,,1.0,,
ALDOC,,1.0,1.0,
ALKBH5,,1.0,1.0,
ALOX5AP,,0.014882553344091805,0.016924252218369865,0.004953379953379953
ALPK1,,1.0,,1.0
ALPL,,0.550104672397666,,
ALS2CL,0.6058636020468081,0.43778806420851873,,
ALYREF,,1.0,,1.0
AMER2,,,0.41753368582636874,
AMIGO2,0.2582249211462695,,,
AMMECR1,0.6459727323036675,,0.5913300458755004,
AMOT,,,1.0,
AMOTL1,1.0,,1.0,
AMOTL2,1.0,,,
AMPD2,,1.0,,
AMPH,,,1.0,
AMT,1.0,,,
ANAPC16,,,1.0,
ANGPT1,,0.10997423629002577,,
ANGPTL2,,0.28245017015070495,,
