,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.7587831017150389,0.7244319102726181,,0.7411312092163156
AAAS,,,1.0,
AAGAB,1.0,,1.0,
AARS,,1.0,1.0,
AASDHPPT,,,,0.8865281060403013
AATK,1.0,1.0,1.0,
ABAT,1.0,,1.0,
ABCA1,0.8656778263452876,,0.8544283452192444,
ABCA2,,0.6321297749869179,,
ABCA3,0.6744267877871117,,,
ABCA5,1.0,1.0,,
ABCA7,0.9566475191475191,0.9405888229417642,,
ABCA8,0.8539655290557818,0.8568090787716954,0.8745070844783214,0.8895764429745012
ABCB1,0.7623308894495334,0.7450100919488675,,
ABCB6,,0.9145490454246215,0.9429990539262061,
ABCB9,1.0,,,
ABCC1,0.839117458224158,,0.8407060067959722,
ABCC9,1.0,,1.0,
ABCD4,,1.0,1.0,
ABCF1,,1.0,,
ABCG1,1.0,1.0,,
ABCG2,,,0.8274396571170763,
ABHD11,,,,1.0
ABHD12,0.8207818671394831,0.8185487434817194,,
ABHD14A,,,0.6697108201532981,
ABHD14B,,1.0,1.0,
ABHD17A,,1.0,1.0,
ABHD17B,,,1.0,
ABHD3,,0.7450100919488675,0.7505311852326777,
ABHD4,1.0,,,
ABHD5,0.8207818671394831,,,
ABI1,1.0,,,
ABI2,,1.0,1.0,
ABI3,,1.0,1.0,
ABI3BP,0.8738192610960468,,0.8745070844783214,
ABL1,1.0,,,
ABLIM1,1.0,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,0.5871513102282333,,0.514925074925075
ABTB1,,1.0,1.0,
ACAA1,1.0,1.0,,
ACACA,,1.0,,
ACAD8,1.0,,,
ACADM,,0.7953473060463075,0.8124299541518085,
ACADSB,1.0,,1.0,
ACADVL,1.0,,,
ACAN,0.7623308894495334,0.7585557299843014,,
ACAT1,1.0,,,
ACBD3,,,0.8387765176000469,
ACBD4,1.0,,,
ACER3,0.9042106119350377,0.8842770817293111,,
ACIN1,,1.0,,
ACKR1,0.7655487894458484,,0.7572829364419859,
ACKR3,1.0,1.0,1.0,
ACO2,1.0,1.0,,
ACOT13,1.0,,,
ACOT7,1.0,,,
ACOT8,1.0,,,
ACOT9,0.7655487894458484,,0.7694464626282809,
ACP1,,1.0,,
ACP2,,,0.6697108201532981,
ACRBP,,,0.6069359212216355,
ACSBG1,,,1.0,
ACSL1,0.8711242885554812,0.8765647396082179,,
ACSL3,,1.0,,
ACSL4,1.0,1.0,1.0,
ACSL5,,1.0,1.0,1.0
ACSL6,,1.0,1.0,
ACSS1,1.0,,,1.0
ACSS3,0.7623308894495334,0.7450100919488675,0.7765630595819274,
ACTA2,1.0,,1.0,
ACTB,0.8730239525312313,0.8704130690737834,0.8519352753090349,
ACTC1,1.0,,,1.0
ACTG1,,,0.7895329522548458,
ACTG2,1.0,1.0,,
ACTN1,,0.8402259318289853,0.8347640383568526,
ACTN4,1.0,1.0,1.0,
ACTR2,,,1.0,
ACTR3,0.9095658942284709,0.9502961577429663,0.9584134615384616,
ACTR3B,1.0,,,
ACVR1,,1.0,1.0,
ACVR1C,0.8730239525312313,,,0.8865281060403013
ACVR2A,,0.973016512283528,0.9890513375928485,
ACVR2B,,1.0,0.9957542457542458,
ADA,0.982490221046559,,0.9727398949278764,0.9769916358151651
ADA2,,1.0,,
ADAM10,0.7813204494620425,,0.8387765176000469,
ADAM11,1.0,,1.0,
ADAM17,0.8867694805194805,,0.8749703019043994,
ADAM19,1.0,,1.0,
ADAM22,,1.0,1.0,
ADAM28,,,1.0,
ADAM33,0.7785689272790942,,,0.8194818879750387
ADAM9,1.0,,1.0,
ADAMTS1,,0.7865376214000068,,
ADAMTS10,1.0,,,
ADAMTS12,1.0,1.0,,
ADAMTS14,,1.0,,
ADAMTS18,,,1.0,
ADAMTS4,0.757197348106439,,0.7406436538667943,
ADAMTS7,0.8350045944030906,0.8563065947132533,0.8679894443641898,
ADAMTS8,1.0,,,
ADAMTS9,1.0,,,
ADAMTSL3,1.0,,1.0,
ADAMTSL4,,,0.7572829364419859,
ADAR,,1.0,,
ADARB2,1.0,,1.0,
ADCK1,1.0,1.0,,
ADCY1,1.0,1.0,1.0,
ADCY2,0.7623308894495334,0.7450100919488675,,
ADCY3,0.7655487894458484,,,
ADCY7,,0.7450100919488675,0.7406436538667943,
ADCY8,0.7655487894458484,,0.7883054445554446,
ADCY9,,0.7450100919488675,,0.7698634698634698
ADCYAP1,0.5552780552780553,,0.5915371756955916,
ADCYAP1R1,0.6035631035631036,0.5871513102282333,0.60757886181615,
ADD2,1.0,,1.0,
ADD3,1.0,,,1.0
ADGRA1,,0.5871513102282333,,0.514925074925075
ADGRA2,1.0,,1.0,
ADGRB1,1.0,1.0,1.0,
ADGRB2,1.0,,1.0,
ADGRB3,1.0,1.0,1.0,
ADGRG1,1.0,1.0,,
ADGRG5,,0.41483516483516486,0.531068931068931,
ADGRL1,,0.7485747335371397,,
ADGRL3,1.0,,1.0,
ADH5,0.7623308894495334,,,
ADI1,0.6267494881356267,,,
ADIPOR1,1.0,1.0,,
ADK,0.6267494881356267,,0.6638361638361638,
ADM,,1.0,1.0,
ADPGK,,0.6839174339174339,,
ADPRHL2,,1.0,,
ADRA2A,1.0,,1.0,1.0
ADRA2C,,1.0,,
ADRB1,1.0,,1.0,
ADSS,1.0,1.0,,
ADTRP,,0.6785407900649537,,
AEBP1,,,0.8615303192105699,
AFAP1L2,,0.9674601017357202,,
AFDN,,1.0,1.0,
AFF1,,1.0,,
AFF2,1.0,1.0,1.0,
AFF3,1.0,,1.0,
AFF4,,,0.8745070844783214,
AFG3L2,0.5552780552780553,,,
AGA,1.0,,1.0,
AGAP1,,1.0,1.0,
AGAP2,1.0,1.0,1.0,
AGAP3,,1.0,,
AGBL5,1.0,,,
AGFG1,0.7675047465623382,,,
AGFG2,0.6603306603306603,0.6445372809009173,0.6458946458946458,
AGMAT,,1.0,1.0,
AGO3,,,0.8281017451935819,
AGPAT3,,,0.9584134615384616,
AGPAT5,0.7623308894495334,,,
AGPS,1.0,,,
AGRN,0.7623308894495334,,0.7631326656536741,
AGTR2,1.0,,,
AGTRAP,,1.0,,
