,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.16396936396936398,0.033795472819863066,,0.01861967819414628
AAGAB,,,1.0,
ABAT,,,1.0,
ABCA1,0.20077881302371098,,0.08683352046183904,
ABCA5,0.16040481257872563,0.05278530992816707,,
ABCA8,0.16396936396936398,0.05278530992816707,0.08683352046183904,0.022099113008203917
ABCB1,,1.0,,
ABCC1,,,1.0,
ABCC9,0.8397663717356812,,,
ABI3,,0.8739454615465397,0.9059961639377142,
ABI3BP,0.2415620094191523,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,1.0,1.0,
ABTB1,,0.7056369556369556,,
ACACA,,1.0,,
ACKR3,0.20077881302371098,0.10837207485252179,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,0.5299562316136902,,,
ACSL3,,0.9867516713574285,,
ACSL4,1.0,,1.0,
ACSL5,,0.1652078690540229,0.2485754245754246,0.06731729808652887
ACSL6,,,1.0,
ACSS1,1.0,,,1.0
ACSS3,1.0,,1.0,
ACTA2,,,0.17980448870501228,
ACTB,,1.0,1.0,
ACTN1,,0.5468838561817689,,
ACTN4,,0.9552882684325984,1.0,
ACTR3,,,1.0,
ADA,0.28747875501122255,,,0.056555689208750426
ADA2,,0.3739489426236414,,
ADAM17,0.4689051955239006,,0.23264601507279334,
ADAM19,0.28747875501122255,,0.17584565971662747,
ADAMTS12,,0.15260070326149622,,
ADAMTS4,,,0.6530482939878912,
ADAMTS9,0.7378621378621377,,,
ADAMTSL3,,,0.38217760500369197,
ADARB2,1.0,,,
ADCY1,0.7386606899593912,,0.6106552827864303,
ADCY2,,0.2264946591869669,,
ADCY7,,,0.7591090857566501,
ADCY8,0.4496920989458303,,0.22138123884848776,
ADCYAP1R1,,0.1652078690540229,0.21804861804861805,
ADD2,,,1.0,
ADGRA2,,,0.6828995180643532,
ADGRB1,1.0,,,
ADGRB2,,,1.0,
ADGRB3,,,1.0,
ADGRG5,,0.9249520113394458,0.956306592670229,
ADGRL3,1.0,,1.0,
ADM,,0.04723685405503587,0.035551405116622505,
ADRA2A,1.0,,1.0,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,,
AFF3,0.9606738994047528,,0.8109246125775051,
AGA,,,1.0,
AGAP2,1.0,,1.0,
AGFG2,,,1.0,
AGRN,1.0,,1.0,
AHI1,1.0,,,
AHRR,,,1.0,
AIF1,,0.042634288788134946,0.05361851263490608,
AIFM1,0.757382300239443,,0.5698997971725244,
AJAP1,1.0,,1.0,
AK5,,0.7869655380384993,,
AKAP12,,,0.07862329977714592,
AKAP13,,,1.0,
AKAP5,,,0.4951423842681838,
AKNA,,0.2963675213675214,0.372899078943035,
AKR1B1,1.0,,0.9592809629394996,
AKR1C1,0.8878341171024097,,,
AKR1C2,1.0,,,
AKR7A2,,,0.41597803692566787,
ALCAM,,0.16430210106099435,,
ALDH2,,1.0,,
ALDH5A1,,1.0,,
ALDH6A1,,1.0,,
ALDOA,,0.7686619949393673,,
ALDOC,,1.0,1.0,
ALKBH5,,0.8169066476541794,0.9001815553539692,
ALOX5AP,,0.05278530992816707,0.06814019314019314,0.03196803196803197
ALPK1,,1.0,,1.0
ALPL,,1.0,,
ALS2CL,0.9879325695225276,0.7400907697643603,,
ALYREF,,1.0,,1.0
AMER2,,,0.26749458719718944,
AMIGO2,0.41705251270468663,,,
AMMECR1,0.9244096761026784,,0.8075317785662613,
AMOT,,,1.0,
AMOTL1,1.0,,1.0,
AMOTL2,0.7241980241980243,,,
AMPD2,,0.16165501165501167,,
AMPH,,,1.0,
AMT,1.0,,,
ANGPT1,,0.1882890628535228,,
ANGPTL2,,0.4433966033966034,,
ANK1,1.0,,,
ANKDD1A,,,1.0,
ANKRD29,1.0,,1.0,
ANKRD33B,1.0,,1.0,
ANKRD36,,1.0,,
ANKRD37,0.9728033160868982,,0.8131895576950523,
ANKRD46,,0.7400907697643603,,
ANKRD50,1.0,,1.0,
ANKS1B,,,0.17166811089463022,
ANLN,,,1.0,
ANOS1,0.9216209078278045,,,
ANP32B,,1.0,1.0,
ANTXR2,,,0.3581778452095455,
ANXA1,,0.6079736589940672,0.6595077054093448,
ANXA11,,0.3840039867753494,0.45217455355704206,
ANXA2,,,0.4567234567234567,
AOAH,,0.18441630312133908,0.2621576896386057,
AP1AR,1.0,1.0,,
AP1S2,,1.0,1.0,
AP5Z1,,0.330250060820009,,
APAF1,0.275321693232141,,0.209087715937031,
APBA1,,1.0,1.0,
APBB1IP,,1.0,1.0,1.0
APBB2,1.0,,,
APC2,1.0,,1.0,
APCDD1,0.9157238942441807,,0.752973645059976,
APLN,,,0.15049367810104008,
APLP1,,1.0,,
APLP2,,0.598001998001998,,
APMAP,,1.0,,
APOBEC3C,,0.24226999993871162,0.3062890286970555,
APOBEC3F,,0.24576646594995222,,
APOL2,,0.18441630312133908,0.278359937934406,
APOL3,,0.24172712023179313,0.2520917817360505,0.10268131868131869
APOL6,,0.16165501165501167,0.2255675359123635,0.0916108684703726
APOLD1,0.7857844161569091,,,
APOO,1.0,,1.0,
APOOL,1.0,,1.0,
AQP1,,1.0,,0.875124875124875
AQP3,,0.7500302057824183,0.8132018666265242,0.5388699969980758
ARAP1,1.0,,1.0,
ARAP2,,,1.0,
ARF6,,1.0,1.0,
ARFGEF3,,1.0,,
ARG2,0.5768509840674789,0.2523059030521717,,
ARHGAP20,,1.0,,
ARHGAP21,,,1.0,
ARHGAP27,,1.0,,
ARHGAP30,,1.0,1.0,1.0
ARHGAP33,,,1.0,
ARHGAP36,1.0,,1.0,
ARHGAP9,,1.0,1.0,0.8635081732426866
ARHGDIB,,0.0893944764912507,0.12579727964343349,0.05244194008238952
ARHGEF1,1.0,1.0,1.0,
ARHGEF2,,1.0,,
ARHGEF3,,,1.0,
ARHGEF6,,1.0,1.0,
ARID5B,,0.5609670180565703,,
ARL1,,1.0,,
ARL4C,0.8644919436998645,,0.7284367549854275,
ARMCX2,1.0,,1.0,
ARMCX3,1.0,,1.0,
ARMCX4,1.0,1.0,,
ARPC5L,,1.0,,
ARPP19,,,0.35448655390851924,
ARPP21,,1.0,,
ARRDC2,,0.21664329156185835,0.3086615371383583,
ARRDC3,,,0.5013772235994459,
ARSD,1.0,,1.0,
ART3,,,,0.7420413687694793
ARX,0.4309451232528156,,,
ASAH1,0.8371522936166735,0.6076841247489713,,
ASAP1,1.0,,1.0,
ASB4,1.0,,1.0,
ASF1B,,1.0,1.0,
ASIC2,,1.0,,
ASPH,,1.0,1.0,
ASS1,,0.3868305607436042,,
ASTN1,1.0,,1.0,
ASXL3,1.0,,1.0,
