,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.11988011988011989,0.03338479702116066,,0.01366375559923947
AAGAB,,,1.0,
ABCA5,0.11988011988011989,0.03338479702116066,,
ABCA8,0.13986013986013987,0.04668213142789414,0.06931340264673598,0.022293495977706506
ABCC1,,,1.0,
ABCC9,0.8105530832803559,,,
ABI3,,0.75996780996781,0.913086913086913,
ABI3BP,0.2208317997791682,,,
ABLIM1,,1.0,,
ABRACL,,1.0,1.0,
ACKR3,0.2307692307692308,0.09516702809385737,,
ACOT9,1.0,,1.0,
ACSL4,1.0,,1.0,
ACSL5,,0.11995040135743654,0.17328350661683994,0.06308585031989287
ACSL6,,,1.0,
ACSS1,1.0,,,
ACSS3,1.0,,1.0,
ACTA2,,,0.1687985217396982,
ACTB,,0.9610690313031451,1.0,
ACTN4,,0.852151439225048,,
ADA,0.30826316540602255,,,0.05417837975977511
ADA2,,0.33360534814023185,,
ADAM17,0.4869204869204869,,,
ADAM19,,,0.1687985217396982,
ADAMTS12,,0.11097693515275933,,
ADAMTS9,0.74416149887848,,,
ADARB2,1.0,,,
ADCY1,,,0.5541090763022878,
ADCY2,,0.17329257088293232,,
ADCY7,,,0.6976172763406806,
ADCY8,0.42584281390251544,,0.251310594167737,
ADCYAP1R1,,,0.14861608979256039,
ADGRB1,1.0,,,
ADGRB2,,,1.0,
ADGRL3,1.0,,1.0,
ADM,,0.03338479702116066,0.044034396975573445,
ADRA2A,1.0,,1.0,
AFDN,,,1.0,
AFF2,,1.0,,
AFF3,0.935064935064935,,0.8145112463294282,
AGAP2,1.0,,1.0,
AGRN,1.0,,1.0,
AHRR,,,1.0,
AIF1,,0.03338479702116066,0.044034396975573445,
AIFM1,0.7467422445396014,,0.5685095760662511,
AJAP1,1.0,,1.0,
AK5,,0.7229677343529336,,
AKAP12,,,0.044034396975573445,
AKAP5,,,0.48710725893824486,
AKNA,,0.25606366422692955,0.3226658399072192,
AKR1B1,1.0,,0.9471224427746168,
AKR1C1,0.8508564606125582,,,
AKR7A2,,,0.3882490390964967,
ALCAM,,0.11536107871186405,,
ALDH5A1,,1.0,,
ALDH6A1,,1.0,,
ALDOA,,0.630240660978366,,
ALDOC,,1.0,,
ALKBH5,,0.7413944546020018,,
ALOX5AP,,0.04668213142789414,0.08637516329824023,0.027229912944198662
ALPK1,,1.0,,1.0
ALS2CL,0.9141851525957485,,,
ALYREF,,,,1.0
AMER2,,,0.18046239474810905,
AMMECR1,0.921701249570102,,0.7530672919894478,
AMOT,,,1.0,
AMOTL1,1.0,,,
AMOTL2,0.7391572158411537,,,
ANGPTL2,,0.32922471114890944,,
ANK1,1.0,,,
ANKRD29,1.0,,,
ANKRD33B,1.0,,,
ANKRD46,,0.6805858234429664,,
ANKRD50,1.0,,,
ANOS1,0.9236218327127419,,,
ANP32B,,1.0,1.0,
ANXA11,,0.3227197045378864,0.4269622592975887,
AOAH,,0.136012136012136,0.2097682537242977,
AP1S2,,1.0,1.0,
APAF1,0.30826316540602255,,0.11419089385191081,
APBA1,,,1.0,
APBB1IP,,1.0,1.0,1.0
APC2,1.0,,1.0,
APCDD1,0.8788508788508788,,0.7017982017982018,
APLN,,,0.13474525474525476,
APLP1,,1.0,,
APLP2,,0.5162909652705571,,
APOBEC3C,,0.1985041985041985,0.2642063818534407,
APOL2,,0.19290437189269874,0.2694905094905095,
APOL3,,0.20211504912997452,0.25992525992525994,0.1087054538381972
APOL6,,0.1550008433125316,0.17693821330184967,0.06283826064045844
APOLD1,0.7622377622377623,,,
APOO,1.0,,1.0,
APOOL,1.0,,1.0,
AQP1,,1.0,,0.8147617088793558
AQP3,,0.6805858234429664,0.7596584874691383,
ARAP1,1.0,,,
ARAP2,,,1.0,
ARF6,,1.0,,
ARFGEF3,,1.0,,
ARHGAP27,,1.0,,
ARHGAP30,,1.0,1.0,1.0
ARHGAP33,,,1.0,
ARHGAP36,,,1.0,
ARHGAP9,,1.0,1.0,
ARHGDIB,,0.051827205053011506,0.09357309357309358,0.027229912944198662
ARHGEF1,,1.0,1.0,
ARHGEF2,,1.0,,
ARHGEF6,,1.0,1.0,
ARID5B,,0.45680173485051534,,
ARMCX2,1.0,,1.0,
ARMCX3,1.0,,1.0,
ARMCX4,1.0,0.929048766932726,,
ARPP21,,1.0,,
ARRDC2,,0.20169981533617895,0.255911530330135,
ARRDC3,,,0.5371601371601372,
ARSD,1.0,,1.0,
ARX,0.4954082062515798,,,
ASAH1,0.8139229191860771,0.5439736474978766,,
ASAP1,1.0,,1.0,
ASB4,1.0,,1.0,
ASF1B,,1.0,1.0,
ASIC2,,1.0,,
ASPH,,1.0,,
ASS1,,0.34523971849877144,,
ASTN1,1.0,,,
ASXL3,1.0,,1.0,
ATF3,0.11988011988011989,0.03785904816832652,,
ATG12,0.5967365967365967,,,
ATG9B,1.0,,,
ATP10A,,1.0,1.0,
ATP10B,1.0,,1.0,
ATP11C,1.0,,1.0,
ATP1A2,,1.0,,
ATP1B1,,1.0,,
ATP2A2,1.0,,,
ATP2B2,,,1.0,
ATP6AP2,1.0,,1.0,
ATP6V0D2,1.0,,,
ATP6V1A,,1.0,,
ATP6V1B2,1.0,,1.0,
ATP8A1,1.0,,1.0,
ATP9A,,0.3525231674402945,,
ATRNL1,0.9904049438933159,,0.847375672654483,
AXIN2,1.0,,1.0,
B2M,,0.034003034003034,0.07485847485847485,0.01549669842352769
B3GAT1,,,1.0,
B3GNT2,,1.0,1.0,
B4GALT1,,0.40225238678846925,,
B4GAT1,,0.9565920656524682,,
BAALC,,1.0,,
BACE2,,,0.27326655645239717,
BAHCC1,0.9167070553209168,,,
BAIAP3,1.0,1.0,,
BARHL1,1.0,,1.0,
BATF3,,0.024813024813024814,,0.010085152942295799
BCAN,,0.8725840531150266,,
BCAT1,1.0,,1.0,
BCL11A,,,1.0,
BCL11B,0.7812876778394019,0.5162909652705571,,
BCL6,,0.034003034003034,,0.01549669842352769
BCLAF3,1.0,,1.0,
BCORL1,1.0,,,
BDNF,1.0,,,
BEX1,0.9818920082849701,,0.8483960483960484,
BEX2,1.0,,1.0,
BEX3,0.6905094905094905,,0.4142321093540606,
BEX4,1.0,,1.0,
BGN,,,0.24528869189063363,
BHLHB9,1.0,,,
BHLHE22,1.0,,1.0,
BHLHE41,,0.5439736474978766,,
BIRC7,0.5986696230598669,,,
BLCAP,1.0,1.0,,
BLM,,0.4889319982343238,0.5685095760662511,
BMP7,1.0,0.9520278041286444,,
BMPR1B,,0.7103789746375297,,
BNIP3,,0.2463146609488073,0.32448160204814197,
BNIP3L,,0.11413991413991414,,
BOC,0.7008900190718372,0.4196283514465333,0.5418709976350726,
BRINP1,,1.0,,
BRINP3,1.0,,,
BRS3,0.40021516944593866,,0.17693821330184967,
BST2,,0.1165078576246089,0.15130968322457683,0.05417837975977511
BTBD3,1.0,1.0,,
BTG1,,0.18361638361638363,,
BTG2,,1.0,,1.0
BTN2A2,,0.16555575571969017,,0.08236208236208237
BTN3A1,,0.20211504912997452,,0.1223259499121568
BTN3A2,,0.11413991413991414,,0.061870713556106814
BTNL9,0.5986696230598669,,0.3610664953421137,
BUB3,,,1.0,
BZW2,,,1.0,
C10orf90,0.45874125874125876,,,
