,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,1.0,1.0,,1.0
AAGAB,1.0,,1.0,
ABAT,,,0.6190173462900735,
ABCA1,1.0,,1.0,
ABCA2,,1.0,,
ABCA5,1.0,1.0,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,1.0,1.0,,
ABCC1,,,0.5735191960357524,
ABCC9,1.0,,,
ABCG1,1.0,,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,0.7125943363567127,0.8279067870904605,
ABT1,,0.5835069186133016,,
ABTB1,,1.0,,
ACACA,,0.6117936117936118,,
ACADM,,,0.4825174825174825,
ACADSB,0.3765552629188993,,,
ACAN,1.0,1.0,,
ACKR1,,,1.0,
ACKR3,0.3870267663371112,0.5835069186133016,,
ACO2,,0.5835069186133016,,
ACOT9,0.34170747285501385,,0.4825174825174825,
ACSL1,0.3765552629188993,0.556484752361041,,
ACSL3,,1.0,,
ACSL4,0.4103931782503211,,0.5187539732994279,
ACSL5,,0.556484752361041,0.4825174825174825,0.951048951048951
ACSL6,,1.0,1.0,
ACSS1,0.34170747285501385,,,0.8321678321678322
ACSS3,1.0,,1.0,
ACTA2,1.0,,1.0,
ACTB,0.8834248275995848,0.9591330655160443,1.0,
ACTG1,,,1.0,
ACTN1,,1.0,1.0,
ACTN4,,1.0,1.0,
ACTR3,1.0,,1.0,
ACVR2A,,1.0,,
ADA,1.0,,1.0,1.0
ADA2,,1.0,,
ADAM17,1.0,,1.0,
ADAM19,1.0,,1.0,
ADAM33,0.6370397279488189,,,
ADAMTS10,1.0,,,
ADAMTS12,,1.0,,
ADAMTS4,,,1.0,
ADAMTS9,1.0,,,
ADAMTSL3,1.0,,1.0,
ADARB2,1.0,,1.0,
ADCY1,1.0,,1.0,
ADCY2,1.0,1.0,,
ADCY7,,1.0,1.0,
ADCY8,1.0,,1.0,
ADCYAP1,,,1.0,
ADCYAP1R1,1.0,1.0,1.0,
ADD2,,,1.0,
ADD3,1.0,,,
ADGRA2,,,1.0,
ADGRB1,1.0,1.0,,
ADGRB2,1.0,,1.0,
ADGRB3,,,1.0,
ADGRG1,1.0,,,
ADGRG5,,0.556484752361041,0.5074610428941138,
ADGRL3,0.34170747285501385,,0.4825174825174825,
ADI1,0.3765552629188993,,,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,
ADSS,0.4214642500356786,,,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,,
AFF3,1.0,,1.0,
AGA,,,1.0,
AGAP1,,1.0,,
AGAP2,1.0,,1.0,
AGAP3,,1.0,,
AGFG2,1.0,,1.0,
AGRN,1.0,,1.0,
AHI1,1.0,,,
AHNAK2,,1.0,,
AHRR,,,0.7382456771524295,
AIF1,,1.0,1.0,
AIF1L,,1.0,,
AIFM1,0.3765552629188993,,0.4943420216147489,
AJAP1,1.0,,1.0,
AK5,,1.0,,
AKAP12,,,1.0,
AKAP13,,,1.0,
AKAP5,,,1.0,
AKNA,,1.0,1.0,
AKR1B1,0.7200882949385944,0.7966855062745474,0.8664156356464049,
AKR1C1,1.0,,,
AKR1C2,0.3765552629188993,,,
AKR7A2,,,0.947453574702932,
AKT3,,1.0,,
AKTIP,1.0,,,
ALCAM,,1.0,,
ALDH1B1,0.3765552629188993,,,
ALDH2,0.4194932974002741,0.5633484162895928,,
ALDH5A1,0.3765552629188993,0.556484752361041,,
ALDH6A1,,0.556484752361041,,
ALDOA,,0.556484752361041,,
ALDOC,,1.0,1.0,
ALKBH5,,0.5835069186133016,0.5955334987593052,
ALOX5AP,,1.0,1.0,1.0
ALPK1,,1.0,,1.0
ALPL,,0.7677596179037101,,
ALS2CL,1.0,1.0,,
ALYREF,,1.0,,1.0
AMER2,,,1.0,
AMIGO2,1.0,,,
AMMECR1,1.0,,1.0,
AMOT,,,1.0,
AMOTL1,1.0,,1.0,
AMOTL2,0.495595313777132,,,
AMPD2,,0.7677596179037101,,
AMPH,,,1.0,
AMT,0.3765552629188993,,,
ANAPC16,,,1.0,
ANGPT1,,1.0,,
ANGPTL2,,1.0,,
ANK1,1.0,,,
ANKDD1A,,,1.0,
ANKMY2,,1.0,,
ANKRD29,0.9597796569627554,,1.0,
ANKRD33B,1.0,,1.0,
ANKRD36,,1.0,,
ANKRD37,1.0,,1.0,1.0
ANKRD44,,1.0,,
ANKRD46,,0.8388876748251748,,
ANKRD50,1.0,,1.0,
ANKRD9,,0.556484752361041,,
ANKS1B,1.0,1.0,1.0,
ANLN,,,1.0,
ANO3,1.0,1.0,,
ANOS1,1.0,1.0,,
