,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.7313787130300892,0.6926845609480341,,0.7261310118452976
AAGAB,,,1.0,
ABCA5,1.0,0.9227900304823381,,
ABCA8,0.8661063706935266,0.7695686666274902,0.8815110123521339,0.9230769230769231
ABCC1,,,0.817747469921383,
ABCC9,1.0,,,
ABI3,,1.0,1.0,
ABI3BP,0.8431191450059375,,,
ABLIM1,,1.0,,
ABRACL,,1.0,1.0,
ACKR3,1.0,1.0,,
ACOT9,0.7781309599491417,,0.7397778691896338,
ACSL4,1.0,,1.0,
ACSL5,,1.0,1.0,1.0
ACSL6,,,1.0,
ACSS1,1.0,,,
ACSS3,0.7781309599491417,,0.7397778691896338,
ACTA2,,,1.0,
ACTB,,0.7695686666274902,0.8286058768817389,
ACTN4,,1.0,,
ADA,0.966859227728793,,,0.9726569726569726
ADA2,,1.0,,
ADAM17,0.8728771228771229,,,
ADAM19,,,1.0,
ADAMTS12,,1.0,,
ADAMTS9,1.0,,,
ADARB2,1.0,,,
ADCY1,,,1.0,
ADCY2,,0.6926845609480341,,
ADCY7,,,0.7397778691896338,
ADCY8,0.7781309599491417,,0.786013986013986,
ADCYAP1R1,,,0.6416440702154989,
ADGRB1,1.0,,,
ADGRB2,,,1.0,
ADGRL3,1.0,,1.0,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,
AFDN,,,1.0,
AFF2,,1.0,,
AFF3,1.0,,1.0,
AGAP2,1.0,,1.0,
AGRN,0.7781309599491417,,0.7422408100374203,
AHRR,,,0.9135271508152866,
AIF1,,1.0,1.0,
AIFM1,0.7781309599491417,,0.7949572551342463,
AJAP1,1.0,,1.0,
AK5,,1.0,,
AKAP12,,,1.0,
AKAP5,,,1.0,
AKNA,,1.0,1.0,
AKR1B1,0.7781309599491417,,0.7932763753659275,
AKR1C1,0.6560712015257469,,,
AKR7A2,,,1.0,
ALCAM,,0.7337281192702879,,
ALDH5A1,,0.7695686666274902,,
ALDH6A1,,1.0,,
ALDOA,,0.7078668994556845,,
ALDOC,,0.6732600732600732,,
ALKBH5,,0.7078668994556845,,
ALOX5AP,,1.0,1.0,1.0
ALPK1,,1.0,,1.0
ALS2CL,0.7781309599491417,,,
ALYREF,,,,1.0
AMER2,,,1.0,
AMMECR1,1.0,,1.0,
AMOT,,,0.817747469921383,
AMOTL1,0.7323585505403687,,,
AMOTL2,0.7781309599491417,,,
ANGPTL2,,0.6926845609480341,,
ANK1,1.0,,,
ANKRD29,1.0,,,
ANKRD33B,0.7313787130300892,,,
ANKRD46,,0.6259649441467622,,
ANKRD50,0.906026244671663,,,
ANOS1,1.0,,,
ANP32B,,1.0,1.0,
