,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.05339212069981301,0.06015736529331695,,0.03059566695930332
AAAS,,,1.0,
AAGAB,1.0,,1.0,
AARS,,1.0,1.0,
AASDHPPT,,,,1.0
AATK,0.717628041832335,0.6463437412445912,0.7286578127754598,
ABAT,1.0,,1.0,
ABCA1,0.1861267224395716,,0.18796259919855426,
ABCA2,,0.17303284950343772,,
ABCA3,0.17839613353361541,,,
ABCA5,1.0,1.0,,
ABCA7,0.9181079506812406,0.8333718544043592,,
ABCA8,0.8555506993006993,0.8512133844622762,0.8743208011500695,0.6661819193464763
ABCB1,0.22947715549756365,0.18914763992484201,,
ABCB6,,0.44132944920346495,0.44521345121495165,
ABCB9,1.0,,,
ABCC1,1.0,,1.0,
ABCC9,0.4299954347755496,,0.46341434706677714,
ABCD4,,1.0,1.0,
ABCF1,,1.0,,
ABCG1,0.2919101926111272,0.2750683116668047,,
ABCG2,,,1.0,
ABHD11,,,,1.0
ABHD12,1.0,1.0,,
ABHD14A,,,0.8350418300501495,
ABHD14B,,1.0,1.0,
ABHD17A,,1.0,1.0,
ABHD17B,,,0.8109404656086321,
ABHD3,,0.05568257246109595,0.05268540982826697,
ABHD4,0.08162216402750924,,,
ABHD5,0.5697798410519557,,,
ABI1,0.8934328551237402,,,
ABI2,,0.17559160416303274,0.16160212102932867,
ABI3,,0.29086647249266046,0.3364493867906837,
ABI3BP,0.04670563081778035,,0.047416868845440274,
ABL1,0.20878454878454877,,,
ABLIM1,0.7020566923768711,0.6558013013709215,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,0.10815599494844777,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACAA1,1.0,1.0,,
ACACA,,1.0,,
ACAD8,1.0,,,
ACADM,,1.0,1.0,
ACADSB,1.0,,1.0,
ACADVL,1.0,,,
ACAN,0.07730088936585457,0.06312709030100334,,
ACAT1,1.0,,,
ACBD3,,,0.6477656421790501,
ACBD4,1.0,,,
ACER3,1.0,1.0,,
ACIN1,,1.0,,
ACKR1,0.04670563081778035,,0.047416868845440274,
ACKR3,0.09577691302537299,0.10257742257742257,0.08326864772857803,
ACO2,1.0,1.0,,
ACOT13,0.6535686535686536,,,
ACOT7,1.0,,,
ACOT8,1.0,,,
ACOT9,1.0,,1.0,
ACP1,,0.7648351648351649,,
ACP2,,,0.45764835609164745,
ACRBP,,,1.0,
ACSBG1,,,0.6560839283641987,
ACSL1,0.18535672601293143,0.17064937768591354,,
ACSL3,,0.05240023134759977,,
ACSL4,0.06442452575049261,0.05240023134759977,0.05268540982826697,
ACSL5,,0.05240023134759977,0.04526155662519299,0.03059566695930332
ACSL6,,0.05240023134759977,0.04526155662519299,
ACSS1,1.0,,,1.0
ACSS3,0.6602391510928095,0.6572107667613286,0.6747187238990517,
ACTA2,0.1112616511503339,,0.08326864772857803,
ACTB,1.0,1.0,1.0,
ACTC1,0.4882874051774856,,,0.3717729299124648
ACTG1,,,1.0,
ACTG2,0.6467507743609833,0.5974114056406489,,
ACTN1,,0.146628040589749,0.15168737896010623,
ACTN4,0.5975719612083248,0.5652560913726697,0.5917919290012313,
ACTR2,,,1.0,
ACTR3,1.0,1.0,1.0,
ACTR3B,1.0,,,
ACVR1,,0.05240023134759977,0.05268540982826697,
ACVR1C,0.06442452575049261,,,0.03059566695930332
ACVR2A,,0.05240023134759977,0.05268540982826697,
ACVR2B,,0.05240023134759977,0.04526155662519299,
ADA,0.16104741180269883,,0.1418886457054396,0.10859682952706207
ADA2,,0.3963056087030563,,
ADAM10,0.2965762561138284,,0.286313322710047,
ADAM11,0.5187718855538924,,0.5543929043929045,
ADAM17,0.17839613353361541,,0.16909034361864553,
ADAM19,1.0,,1.0,
ADAM22,,0.26356417631585416,0.21740463450041203,
ADAM28,,,0.3307813761580885,
ADAM33,0.21181467539083432,,,0.09838193302760231
ADAM9,0.15167720819212185,,0.15168737896010623,
ADAMTS1,,0.075596385391374,,
ADAMTS10,1.0,,,
ADAMTS12,0.9645973074544503,0.9229954223773753,,
ADAMTS14,,0.508900561102845,,
ADAMTS18,,,0.9624085342787043,
ADAMTS4,0.6582014476751319,,0.6208599696971789,
ADAMTS7,0.7893273628775751,0.6885230951620993,0.7810732845136514,
ADAMTS8,0.9920136043731549,,,
ADAMTS9,0.06834191449576064,,,
ADAMTSL3,0.508762616092459,,0.447195020548314,
ADAMTSL4,,,0.5379518162601382,
ADAR,,1.0,,
ADARB2,1.0,,1.0,
ADCK1,1.0,1.0,,
ADCY1,0.0856103211563597,0.07214524605828955,0.07042662641876789,
ADCY2,0.2776390276390277,0.26356417631585416,,
ADCY3,0.16582964546765452,,,
ADCY7,,0.30902700538328065,0.25868687186738765,
ADCY8,0.10788259359687931,,0.1074877146841165,
ADCY9,,0.3812823206205559,,0.2826176672330519
ADCYAP1,0.10411463536463537,,0.07042662641876789,
ADCYAP1R1,0.06442452575049261,0.05240023134759977,0.04526155662519299,
ADD2,1.0,,1.0,
ADD3,1.0,,,1.0
ADGRA1,,0.4484704484704485,,0.2935379227514059
ADGRA2,0.3155544895633001,,0.30232962095274546,
ADGRB1,0.09577691302537299,0.08279454433300587,0.06489640705526653,
