,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.17102897102897102,0.1314157540572635,,0.09906759906759909
AAGAB,0.5112871822055496,,0.41025641025641024,
ABAT,,,0.5252614820338164,
ABCA1,1.0,,1.0,
ABCA2,,0.8743184781320376,,
ABCA5,0.7374596557288865,0.6146963272947524,,
ABCA8,0.4283045721401886,0.3513750823167863,0.3681024857495446,0.213986013986014
ABCB1,0.44757389849414386,0.382227528568992,,
ABCC1,,,0.43583641489400654,
ABCC9,0.5268303125445983,,,
ABCG1,0.988603112863468,,,
ABI3,,1.0,1.0,
ABI3BP,0.9778216981098135,,,
ABLIM1,,1.0,,
ABLIM2,1.0,,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,
ABTB1,,0.8640973174735233,,
ACACA,,0.6133457571452295,,
ACADM,,,1.0,
ACADSB,1.0,,,
ACAN,0.9529992066756773,0.8875261612748845,,
ACKR1,,,0.3525577267371578,
ACKR3,0.6208761298581656,0.49244973776223777,,
ACO2,,0.5470326134042948,,
ACOT9,1.0,,1.0,
ACSL1,0.725409815560066,0.6228523434789753,,
ACSL3,,0.1918335901386749,,
ACSL4,0.46535361190533603,,0.3456497735673937,
ACSL5,,0.1496394230769231,0.15795968737145208,0.09906759906759909
ACSL6,,0.1795917087396908,0.17298039383928954,
ACSS1,1.0,,,1.0
ACSS3,0.17102897102897102,,0.15795968737145208,
ACTA2,0.5002597402597403,,0.3825012197105221,
ACTB,1.0,1.0,1.0,
ACTG1,,,1.0,
ACTN1,,1.0,1.0,
ACTN4,,1.0,1.0,
ACTR3,1.0,,1.0,
ACVR2A,,0.826658190294554,,
ADA,0.43436496613754133,,0.35143380109823064,0.23584480036092942
ADA2,,0.1496394230769231,,
ADAM17,0.37763394906252046,,0.350060774440007,
ADAM19,0.16033966033966035,,0.16410256410256413,
ADAM33,0.17102897102897102,,,
ADAMTS10,0.17102897102897102,,,
ADAMTS12,,0.17330063301627283,,
ADAMTS4,,,0.31904728934431903,
ADAMTS9,0.17462735284517467,,,
ADAMTSL3,1.0,,1.0,
ADARB2,1.0,,1.0,
ADCY1,1.0,,1.0,
ADCY2,1.0,1.0,,
ADCY7,,1.0,1.0,
ADCY8,1.0,,1.0,
ADCYAP1,,,0.18965787575653048,
ADCYAP1R1,0.17102897102897102,0.1393006993006993,0.15795968737145208,
ADD2,,,1.0,
ADD3,1.0,,,
ADGRA2,,,1.0,
ADGRB1,0.6016869728209935,0.47176960970064413,,
ADGRB2,1.0,,1.0,
ADGRB3,,,1.0,
ADGRG1,0.36612993305906694,,,
ADGRG5,,0.17330063301627283,0.21199852778800146,
ADGRL3,0.5268303125445983,,0.4941145810711029,
ADI1,0.7707207784487538,,,
ADM,,0.24322344322344325,0.2525181240777571,
ADRA2A,1.0,,1.0,
ADSS,0.2829523417758712,,,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
