,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.04627317127317127,0.022730693963570678,,0.00880514834003206
AAAS,,,1.0,
AAGAB,1.0,,1.0,
AARS,,1.0,1.0,
AASDHPPT,,,,1.0
AATK,1.0,1.0,1.0,
ABAT,1.0,,1.0,
ABCA1,0.9000362645796262,,0.8745584690538819,
ABCA2,,0.5463871955920601,,
ABCA3,0.19390662247805107,,,
ABCA5,1.0,1.0,,
ABCA7,1.0,1.0,,
ABCA8,1.0,1.0,1.0,0.8963942040865117
ABCB1,0.3066314216756695,0.30369895356632753,,
ABCB6,,0.2229739010989011,0.2609195617217008,
ABCB9,0.7562682716056949,,,
ABCC1,0.34061784860506905,,0.31285127533662116,
ABCC9,0.6379790422343613,,0.5699020347241692,
ABCD4,,1.0,1.0,
ABCF1,,1.0,,
ABCG1,0.7987067417075798,0.6913919413919414,,
ABCG2,,,0.9963216270908579,
ABHD11,,,,0.9288424673040058
ABHD12,0.8302215583768983,0.7846882033629021,,
ABHD14A,,,0.4050525745441,
ABHD14B,,1.0,1.0,
ABHD17A,,0.5014309745920084,0.48677370800475167,
ABHD17B,,,0.44672857773706026,
ABHD3,,0.0626166286543645,0.07155120328773024,
ABHD4,0.6503256503256504,,,
ABHD5,1.0,,,
ABI1,1.0,,,
ABI2,,0.9916113298466238,1.0,
ABI3,,0.6626318772741402,0.6293639594826539,
ABI3BP,0.05949407735122021,,0.055901992744098,
ABL1,0.41645854145854144,,,
ABLIM1,1.0,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACAA1,1.0,1.0,,
ACACA,,1.0,,
ACAD8,1.0,,,
ACADM,,1.0,1.0,
ACADSB,1.0,,1.0,
ACADVL,1.0,,,
ACAN,0.05949407735122021,0.048271728271728265,,
ACAT1,1.0,,,
ACBD3,,,1.0,
ACBD4,1.0,,,
ACER3,1.0,1.0,,
ACIN1,,1.0,,
ACKR1,0.08586774050691576,,0.027280938239842352,
ACKR3,0.12619955801773983,0.09013702347035682,0.11455579818411678,
ACO2,1.0,1.0,,
ACOT13,1.0,,,
ACOT7,1.0,,,
ACOT8,1.0,,,
ACOT9,1.0,,1.0,
ACP1,,0.15113539212210939,,
ACP2,,,0.3557814734285323,
ACRBP,,,1.0,
ACSBG1,,,0.6304479544124515,
ACSL1,0.27330091783216787,0.2666372365081117,,
ACSL3,,0.05549634312176118,,
ACSL4,0.10319326691008107,0.0626166286543645,0.03793349507635222,
ACSL5,,0.022730693963570678,0.047605780673509755,0.00880514834003206
ACSL6,,0.022730693963570678,0.027280938239842352,
ACSS1,1.0,,,1.0
ACSS3,1.0,1.0,1.0,
ACTA2,0.08586774050691576,,0.0778802203383209,
ACTB,0.4711450165995621,0.44084502107881496,0.4666449786375985,
ACTC1,0.3724529681650662,,,0.23776905688168484
ACTG1,,,0.5114247996901058,
ACTG2,1.0,1.0,,
ACTN1,,0.40590892686022917,0.4912505418272942,
ACTN4,1.0,1.0,1.0,
ACTR2,,,1.0,
ACTR3,1.0,1.0,1.0,
ACTR3B,1.0,,,
ACVR1,,0.25528317836010145,0.2690514783230015,
ACVR1C,0.5508760774898941,,,0.3476917448748435
ACVR2A,,0.05549634312176118,0.11012950183457096,
ACVR2B,,0.3929013515220412,0.33341997369146686,
ADA,0.06708057043627513,,0.06424220940349973,0.021791158481805965
ADA2,,0.23668895596057962,,
ADAM10,0.20624613481756343,,0.1038227175667934,
ADAM11,0.07659007659007659,,0.055901992744098,
ADAM17,0.06708057043627513,,0.03793349507635222,
ADAM19,0.04627317127317127,,0.03793349507635222,
ADAM22,,0.042547196393350244,0.08452025428152748,
ADAM28,,,0.027280938239842352,
ADAM33,0.07659007659007659,,,0.021791158481805965
ADAM9,0.04627317127317127,,0.03793349507635222,
ADAMTS1,,0.033692196128744356,,
ADAMTS10,0.04627317127317127,,,
ADAMTS12,0.06708057043627513,0.05549634312176118,,
ADAMTS14,,0.042547196393350244,,
ADAMTS18,,,0.027280938239842352,
ADAMTS4,0.16301741072383275,,0.08452025428152748,
ADAMTS7,0.07659007659007659,0.0626166286543645,0.055901992744098,
ADAMTS8,0.04627317127317127,,,
ADAMTS9,0.04627317127317127,,,
ADAMTSL3,0.5483449581065926,,0.5022064891630109,
ADAMTSL4,,,0.11012950183457096,
ADAR,,0.4006608425742822,,
ADARB2,1.0,,1.0,
ADCK1,1.0,1.0,,
ADCY1,0.07659007659007659,0.06714095153401511,0.11991879088653282,
ADCY2,0.1680663550099752,0.09013702347035682,,
ADCY3,0.12619955801773983,,,
ADCY7,,0.09013702347035682,0.09215206387442892,
ADCY8,0.11898815470244042,,0.11991879088653282,
ADCY9,,0.1476395944481051,,0.0555047047193644
ADCYAP1,0.39166934256219976,,0.34519480519480517,
