,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,1.0,1.0,,1.0
AAGAB,,,1.0,
ABCA5,1.0,1.0,,
ABCA8,1.0,1.0,1.0,1.0
ABCC1,,,0.5695753521840479,
ABCC9,1.0,,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,,
ABLIM1,,1.0,,
ABRACL,,0.8626273055803257,0.8983016983016983,
ACKR3,0.48725468080306794,0.7789785971604153,,
ACOT9,0.39960039960039956,,0.524009324009324,
ACSL4,0.49825174825174817,,0.5812540400775695,
ACSL5,,0.7789785971604153,0.5614385614385614,1.0
ACSL6,,,1.0,
ACSS1,0.39960039960039956,,,
ACSS3,1.0,,1.0,
ACTA2,,,1.0,
ACTB,,1.0,1.0,
ACTN4,,1.0,,
ADA,1.0,,,1.0
ADA2,,1.0,,
ADAM17,1.0,,,
ADAM19,,,1.0,
ADAMTS12,,1.0,,
ADAMTS9,1.0,,,
ADARB2,1.0,,,
ADCY1,,,1.0,
ADCY2,,1.0,,
ADCY7,,,1.0,
ADCY8,1.0,,1.0,
ADCYAP1R1,,,1.0,
ADGRB1,1.0,,,
ADGRB2,,,1.0,
ADGRL3,0.4195804195804196,,0.524009324009324,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,
AFDN,,,1.0,
AFF2,,1.0,,
AFF3,1.0,,1.0,
AGAP2,1.0,,1.0,
AGRN,1.0,,1.0,
AHRR,,,0.8320113621318441,
AIF1,,1.0,1.0,
AIFM1,0.47716988893459483,,0.5774796631939489,
AJAP1,1.0,,1.0,
AK5,,1.0,,
AKAP12,,,1.0,
AKAP5,,,1.0,
AKNA,,1.0,1.0,
AKR1B1,0.844948155292983,,0.8970811796898753,
AKR1C1,1.0,,,
AKR7A2,,,0.9593513282833672,
ALCAM,,1.0,,
ALDH5A1,,0.7789785971604153,,
ALDH6A1,,0.7789785971604153,,
ALDOA,,0.7789785971604153,,
ALDOC,,1.0,,
ALKBH5,,0.7789785971604153,,
ALOX5AP,,1.0,1.0,1.0
ALPK1,,1.0,,1.0
ALS2CL,1.0,,,
ALYREF,,,,1.0
AMER2,,,1.0,
AMMECR1,1.0,,1.0,
AMOT,,,1.0,
AMOTL1,1.0,,,
AMOTL2,0.585829265074548,,,
ANGPTL2,,1.0,,
ANK1,1.0,,,
