,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.1427857856429285,0.1567880937959678,,0.12185515633791497
AAAS,,,0.9079604726018614,
AAGAB,0.4583696558218851,,0.41655058089321034,
AARS,,0.963144818836962,0.9408977976628923,
AASDHPPT,,,,0.19302266361089893
AATK,0.3464473135183707,0.2790847178415734,0.3016590702425204,
ABAT,0.5743130522758338,,0.5169513832531815,
ABCA1,1.0,,1.0,
ABCA2,,0.9096212500713367,,
ABCA3,0.8601914458337632,,,
ABCA5,0.6766182639456401,0.6588196988196987,,
ABCA7,1.0,1.0,,
ABCA8,0.43196803196803196,0.37019411035159067,0.3873547171644423,0.3008687740830598
ABCB1,0.4388487856229792,0.3971071663379356,,
ABCB6,,0.5251078035888161,0.567397341727384,
ABCB9,0.5362127143243024,,,
ABCC1,0.49098270150901735,,0.5006854547547537,
ABCC9,0.528370308105991,,0.4692035712978122,
ABCD4,,0.7599362913724264,0.7080406565062037,
ABCF1,,0.9137843723097179,,
ABCG1,1.0,0.9701576378892673,,
ABCG2,,,1.0,
ABHD11,,,,0.8665355263293408
ABHD12,0.823118058412176,0.8192473355789938,,
ABHD14A,,,0.17070072784358498,
ABHD14B,,0.5334647590420237,0.5354811351790203,
ABHD17A,,0.8420227415264635,0.8047946911700125,
ABHD17B,,,0.7406621468419222,
ABHD3,,0.9893229798592575,0.9785498951112099,
ABHD4,0.2503066881305223,,,
ABHD5,0.22874140784588545,,,
ABI1,1.0,,,
ABI2,,1.0,1.0,
ABI3,,1.0,1.0,
ABI3BP,0.9655941403729016,,0.9293111724817951,
ABL1,0.3392244119516847,,,
ABLIM1,1.0,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,0.8984061446138459,0.9029877877973334,
ACAA1,1.0,1.0,,
ACACA,,0.6548733165943849,,
ACAD8,1.0,,,
ACADM,,1.0,1.0,
ACADSB,1.0,,1.0,
ACADVL,0.8162809228055565,,,
ACAN,0.9166494880780596,0.9279636702432884,,
