,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.8558961038961039,0.8920690959525911,,1.0
AAGAB,1.0,,1.0,
AARS,,1.0,,
AATK,1.0,1.0,,
ABAT,,,1.0,
ABCA1,0.8217685398302139,,0.9562475142412447,
ABCA2,,1.0,,
ABCA3,0.7995421663763373,,,
ABCA5,1.0,1.0,,
ABCA7,0.9144189144189144,,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,1.0,1.0,,
ABCB6,,,1.0,
ABCB9,0.4572094572094572,,,
ABCC1,1.0,,1.0,
ABCC9,1.0,,1.0,
ABCD4,,,1.0,
ABCF1,,1.0,,
ABCG1,0.8943532956072142,0.9615675022651767,,
ABCG2,,,1.0,
ABHD12,0.9144189144189144,0.9955904310743021,,
ABHD14B,,,1.0,
ABHD17A,,1.0,,
ABHD3,,0.8077636649065221,0.7651579190040729,
ABHD5,0.8619016119016119,,,
ABI2,,1.0,,
ABI3,,1.0,1.0,
ABI3BP,0.9701104396585731,,1.0,
ABLIM1,,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,0.9759555512980171,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACAA1,0.9381420466326128,1.0,,
ACACA,,0.8295297516854403,,
ACAD8,1.0,,,
ACADM,,0.9006922281258565,0.8741349559531377,
ACADSB,1.0,,,
ACAN,1.0,1.0,,
ACER3,1.0,1.0,,
ACIN1,,1.0,,
ACKR1,1.0,,1.0,
ACKR3,1.0,1.0,,
ACO2,0.9461695711695712,1.0,,
ACOT9,1.0,,1.0,
ACP1,,1.0,,
ACP2,,,1.0,
ACRBP,,,1.0,
ACSBG1,,,0.9645627100172555,
ACSL1,1.0,1.0,,
ACSL3,,0.9955904310743021,,
ACSL4,0.6907481008200433,0.8077636649065221,0.7557809837221602,
ACSL5,,0.8844786498417784,0.769385310821775,1.0
ACSL6,,0.9119912345718797,0.9687390922330681,
ACSS1,0.7017633529261437,,,0.9372127872127872
ACSS3,1.0,1.0,1.0,
ACTA2,1.0,,1.0,
ACTB,1.0,1.0,1.0,
ACTC1,1.0,,,1.0
ACTG1,,,1.0,
ACTG2,1.0,1.0,,
ACTN1,,1.0,1.0,
ACTN4,,1.0,1.0,
ACTR2,,,1.0,
ACTR3,1.0,1.0,1.0,
ACVR1,,1.0,1.0,
ACVR2A,,1.0,1.0,
ACVR2B,,1.0,1.0,
ADA,1.0,,1.0,1.0
ADA2,,1.0,,
ADAM10,0.8566303584890946,,0.9507338539596604,
ADAM11,0.391893820465249,,0.4362742520637257,
ADAM17,1.0,,1.0,
ADAM19,0.8943532956072142,,0.9562475142412447,
ADAM22,,1.0,1.0,
ADAM33,0.9826591319128632,,,1.0
ADAM9,,,1.0,
ADAMTS1,,0.1766983016983017,,
ADAMTS10,0.6907481008200433,,,
ADAMTS12,0.9001311188811189,0.9154654868940584,,
ADAMTS14,,0.9955904310743021,,
ADAMTS18,,,0.9562475142412447,
ADAMTS4,1.0,,1.0,
ADAMTS7,0.8466841800175133,0.8920690959525911,0.9381587404843218,
ADAMTS9,1.0,,,
ADAMTSL3,1.0,,1.0,
ADAMTSL4,,,1.0,
ADAR,,1.0,,
ADARB2,1.0,,1.0,
ADCY1,1.0,,1.0,
ADCY2,1.0,1.0,,
ADCY3,1.0,,,
ADCY7,,1.0,1.0,
ADCY8,1.0,,1.0,
ADCY9,,1.0,,1.0
ADCYAP1,1.0,,1.0,
ADCYAP1R1,1.0,1.0,1.0,
ADD2,1.0,,1.0,
ADD3,1.0,,,1.0
ADGRA1,,,,1.0
ADGRA2,1.0,,1.0,
ADGRB1,1.0,1.0,1.0,
ADGRB2,1.0,,1.0,
ADGRB3,1.0,,1.0,
ADGRG1,0.9273893954745018,1.0,,
ADGRG5,,1.0,1.0,
ADGRL1,,1.0,,
ADGRL3,1.0,,1.0,
ADI1,1.0,,,
ADIPOR1,1.0,1.0,,
ADK,1.0,,1.0,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,1.0
ADRA2C,,1.0,,
ADRB1,1.0,,1.0,
ADSS,0.5486513486513487,0.5063593123294616,,
AEBP1,,,1.0,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,1.0,
AFF3,1.0,,1.0,
AFF4,,,1.0,
AFG3L2,0.39189382046524907,,,
AGA,1.0,,1.0,
AGAP1,,1.0,1.0,
AGAP2,1.0,1.0,1.0,
AGAP3,,1.0,,
AGFG1,1.0,,,
AGFG2,1.0,,1.0,
AGMAT,,1.0,1.0,
AGPS,0.8566303584890946,,,
AGRN,1.0,,1.0,
AGTR2,1.0,,,
AGTRAP,,1.0,,
AHDC1,,,0.7229687605627455,
AHI1,1.0,,1.0,
AHNAK2,,1.0,,
AHRR,1.0,,1.0,
AIF1,,1.0,1.0,
AIF1L,,1.0,,
AIFM1,0.9061809061809062,,0.9562475142412447,
AIFM2,,,0.7229687605627455,
AIP,0.7995421663763373,,,
AJAP1,1.0,,1.0,1.0
AK1,,,1.0,
AK5,,1.0,,
AKAP1,0.9144189144189144,,,
AKAP11,,1.0,,
AKAP12,,,1.0,
AKAP13,,,1.0,
AKAP17A,,1.0,,
AKAP5,,,1.0,
AKAP8L,,1.0,1.0,
