,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,1.0,1.0,,1.0
AAGAB,1.0,,1.0,
AARS,,0.5791345218657994,,
AATK,0.47234884320977033,0.5487632760360033,,
ABAT,,,0.5693599329962966,
ABCA1,1.0,,1.0,
ABCA2,,1.0,,
ABCA3,0.5326254501512233,,,
ABCA5,1.0,1.0,,
ABCA7,1.0,,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,1.0,1.0,,
ABCB6,,,0.4043517458151605,
ABCB9,0.42490661512400646,,,
ABCC1,0.3906805269034371,,0.427457559861741,
ABCC9,1.0,,1.0,
ABCD4,,,0.6022872258827314,
ABCF1,,1.0,,
ABCG1,1.0,1.0,,
ABCG2,,,1.0,
ABHD12,0.3366724184906003,0.4685029256457828,,
ABHD14B,,,1.0,
ABHD17A,,0.557180046231141,,
ABHD3,,0.4685029256457828,0.41672535115158066,
ABHD5,1.0,,,
ABI2,,1.0,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,1.0,
ABLIM1,,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,0.6817634304986749,0.7721456625566214,
ABT1,,0.5203385571483731,,0.8030454394090758
ABTB1,,1.0,1.0,
ACAA1,0.34143538864568906,0.48029190886333745,,
ACACA,,0.5296081329139181,,
ACAD8,0.31932089074946224,,,
ACADM,,0.46095209138687404,0.4043517458151605,
ACADSB,0.31932089074946224,,,
ACAN,1.0,1.0,,
ACER3,1.0,1.0,,
ACIN1,,1.0,,
ACKR1,1.0,,1.0,
ACKR3,0.37742794118633044,0.48029190886333745,,
ACO2,0.3366724184906003,0.48029190886333745,,
ACOT9,0.31932089074946224,,0.4043517458151605,
ACP1,,0.7201289276760975,,
ACP2,,,0.41672535115158066,
ACRBP,,,0.6641911347793702,
ACSBG1,,,0.4179434011366785,
ACSL1,0.3342038671987911,0.4685029256457828,,
ACSL3,,0.9830613283141026,,
ACSL4,0.34434185061800127,0.48029190886333745,0.4371159387236558,
ACSL5,,0.4685029256457828,0.4043517458151605,0.7789390097082405
ACSL6,,1.0,1.0,
ACSS1,0.31932089074946224,,,0.7789390097082405
ACSS3,1.0,1.0,1.0,
ACTA2,1.0,,1.0,
ACTB,0.7906031856342415,0.8404061691732924,0.9071585523198427,
ACTC1,1.0,,,1.0
ACTG1,,,1.0,
ACTG2,1.0,1.0,,
ACTN1,,1.0,1.0,
ACTN4,,1.0,1.0,
ACTR2,,,0.8213559582529596,
ACTR3,1.0,1.0,1.0,
ACVR1,,1.0,1.0,
ACVR2A,,1.0,1.0,
ACVR2B,,1.0,1.0,
ADA,0.910290612322215,,1.0,1.0
ADA2,,1.0,,
ADAM10,1.0,,1.0,
ADAM11,1.0,,1.0,
ADAM17,1.0,,1.0,
ADAM19,1.0,,1.0,
ADAM22,,1.0,1.0,
ADAM33,0.519669765571405,,,0.8729971327373925
ADAM9,,,1.0,
ADAMTS1,,1.0,,
ADAMTS10,0.8538183709781342,,,
ADAMTS12,0.9829258689193543,1.0,,
ADAMTS14,,0.46095209138687404,,
ADAMTS18,,,1.0,
ADAMTS4,1.0,,1.0,
ADAMTS7,1.0,1.0,1.0,
ADAMTS9,1.0,,,
ADAMTSL3,1.0,,1.0,
ADAMTSL4,,,0.9550403139253313,
ADAR,,1.0,,
ADARB2,1.0,,1.0,
ADCY1,1.0,,1.0,
ADCY2,1.0,1.0,,
ADCY3,1.0,,,
ADCY7,,1.0,1.0,
ADCY8,1.0,,1.0,
ADCY9,,1.0,,1.0
ADCYAP1,1.0,,1.0,
ADCYAP1R1,1.0,1.0,1.0,
ADD2,1.0,,1.0,
ADD3,1.0,,,1.0
ADGRA1,,,,1.0
ADGRA2,1.0,,1.0,
ADGRB1,1.0,1.0,1.0,
ADGRB2,1.0,,1.0,
ADGRB3,1.0,,1.0,
ADGRG1,1.0,1.0,,
ADGRG5,,0.48029190886333745,0.43597233216610376,
ADGRL1,,1.0,,
ADGRL3,0.31932089074946224,,0.4043517458151605,
ADI1,0.3366724184906003,,,
ADIPOR1,0.5035423467545839,0.573075573075573,,
ADK,0.4316057276057276,,0.4579674469177232,
ADM,,1.0,1.0,
ADRA2A,1.0,,1.0,1.0
ADRA2C,,1.0,,
ADRB1,1.0,,1.0,
ADSS,0.38151252720789147,0.4685029256457828,,
AEBP1,,,1.0,
AFAP1L2,,1.0,,
AFDN,,1.0,1.0,
AFF2,1.0,1.0,1.0,
AFF3,1.0,,1.0,
AFF4,,,1.0,
AFG3L2,0.31932089074946224,,,
AGA,1.0,,1.0,
AGAP1,,1.0,1.0,
AGAP2,1.0,1.0,1.0,
AGAP3,,1.0,,
