,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.0364341540812129,0.053895599350144804,,0.023929916237608546
AAGAB,1.0,,1.0,
AARS,,1.0,,
AATK,,0.6524645471540161,,
ABAT,,,1.0,
ABCA1,0.1813242519562222,,0.15916539600750126,
ABCA2,,0.11760239760239759,,
ABCA3,0.20557029177718833,,,
ABCA5,1.0,1.0,,
ABCA7,0.8275709393027829,,,
ABCA8,0.8434910745446791,0.7532928094537482,0.8095086062685474,0.5882187987451145
ABCB1,0.18364692397841567,0.17113937018395617,,
ABCB6,,,0.40791498130049986,
ABCC1,1.0,,1.0,
ABCC9,0.44208862390680576,,0.3434357440666589,
ABCF1,,1.0,,
ABCG1,0.2996709173179762,0.290192041461077,,
ABCG2,,,0.9573072575128777,
ABHD17A,,1.0,,
ABHD3,,,0.05341210513624307,
ABHD5,0.47661558299856177,,,
ABI2,,0.13090308618036703,,
ABI3,,0.2945009535918627,0.2828717674078499,
ABI3BP,0.0364341540812129,,0.04265613904168121,
ABLIM1,,0.5824241547925758,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,0.12212649229223815,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,1.0,1.0,
ACACA,,0.9895615529743126,,
ACADM,,,1.0,
ACADSB,1.0,,,
ACAN,0.06952231442027361,0.07658848328704787,,
ACER3,,1.0,,
ACKR1,,,0.03924154663070919,
ACKR3,0.06375976964212259,0.07658848328704787,,
ACO2,,1.0,,
ACOT9,1.0,,1.0,
ACSL1,0.1651278409090909,0.12772632772632772,,
ACSL3,,0.045058389885976095,,
ACSL4,0.04406162942748308,,0.045781804402494054,
ACSL5,,0.0384321560792149,0.037399220497812045,0.023929916237608546
ACSL6,,0.0384321560792149,0.037399220497812045,
ACSS1,1.0,,,1.0
ACSS3,0.6546090930785864,0.5924569372845234,0.6104240586999208,
ACTA2,0.06670252824098978,,0.11232422399935091,
ACTB,1.0,1.0,1.0,
ACTC1,,,,0.31575345070154764
ACTG1,,,1.0,
ACTN1,,0.16202155332590115,0.1418886457054396,
ACTN4,,0.5177464045388573,0.5062347724218228,
ACTR3,1.0,1.0,1.0,
ACVR1,,,0.04872192028155331,
ACVR2A,,0.0384321560792149,,
ACVR2B,,0.0384321560792149,0.03924154663070919,
ADA,0.12864059017905172,,0.1262445953412673,0.1007475936385889
ADA2,,0.35370025657795445,,
ADAM10,,,0.22692358661746415,
ADAM11,,,0.4787925965478863,
ADAM17,0.1651278409090909,,0.1262445953412673,
ADAM19,1.0,,1.0,
ADAM22,,0.23872281564589257,0.2426034541178471,
ADAM33,0.20358771663119488,,,
ADAM9,,,0.1360657975564808,
ADAMTS10,0.9666337153248149,,,
ADAMTS12,0.907464628394861,0.8855950812472552,,
ADAMTS14,,0.4888349061010932,,
ADAMTS4,,,0.577731891539423,
ADAMTS7,0.7139307139307138,0.6681426921213777,0.6891892207558615,
ADAMTS9,0.04835313385499259,,,
ADAMTSL3,0.4415954415954416,,0.40791498130049986,
ADAMTSL4,,,0.5338542576304814,
ADARB2,1.0,,1.0,
ADCY1,0.08292254193893538,,0.06383040036886191,
ADCY2,0.2705562767965264,0.22254332409480504,,
ADCY7,,0.2604733015329042,0.23988057112272926,
ADCY8,0.10422270037654652,,0.10357727379003975,
ADCYAP1,0.06670252824098978,,0.09628158101440543,
ADCYAP1R1,0.036536497210654516,0.0384321560792149,0.03924154663070919,
ADD2,,,1.0,
ADD3,1.0,,,1.0
ADGRA1,,,,0.30381197749618805
ADGRA2,0.27972027972027974,,0.25319912361477154,
ADGRB1,0.058196836720326654,0.06035313659947091,,
ADGRB2,0.12609314622737444,,0.09244913693656441,
ADGRB3,,,0.5096356558239967,
