,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.17482517482517482,0.12125610238817786,,0.08145700453392761
AAGAB,,,0.3835915637157873,
ABCA5,0.7658361056419308,0.5464773321916179,,
ABCA8,0.48104761480557656,0.28942921485294365,0.3420951808048582,0.1875208125208125
ABCC1,,,0.4106522049379192,
ABCC9,0.5897875709196465,,,
ABI3,,1.0,1.0,
ABI3BP,1.0,,,
ABLIM1,,1.0,,
ABRACL,,1.0,1.0,
ACKR3,0.6654283216783216,0.440587051139815,,
ACOT9,1.0,,1.0,
ACSL4,0.48104761480557656,,0.35137651464182074,
ACSL5,,0.12696877590494612,0.1604110175538747,0.08145700453392761
ACSL6,,,0.16411281026665642,
ACSS1,1.0,,,
ACSS3,0.17482517482517482,,0.1604110175538747,
ACTA2,,,0.4000669988693941,
ACTB,,1.0,1.0,
ACTN4,,1.0,,
ADA,0.47871591495752563,,,0.16707736707736706
ADA2,,0.12725887973412725,,
ADAM17,0.45089239119089874,,,
ADAM19,,,0.16177043295687366,
ADAMTS12,,0.14267489267489267,,
ADAMTS9,0.17482517482517482,,,
ADARB2,1.0,,,
ADCY1,,,1.0,
ADCY2,,1.0,,
ADCY7,,,1.0,
ADCY8,1.0,,1.0,
ADCYAP1R1,,,0.1604110175538747,
ADGRB1,0.6197951426167194,,,
ADGRB2,,,0.9522125601671056,
ADGRL3,0.6015901906312865,,0.4678654678654679,
ADM,,0.1789082712159635,0.2420881870423155,
ADRA2A,1.0,,1.0,
AFDN,,,1.0,
AFF2,,0.9044695008451187,,
AFF3,0.6158648218734055,,0.4812330526616241,
AGAP2,1.0,,1.0,
AGRN,1.0,,0.8847934020866353,
AHRR,,,0.9865830721003136,
AIF1,,0.17865377865377868,0.1811092133672779,
AIFM1,0.17482517482517482,,0.1604110175538747,
AJAP1,1.0,,0.8855072963018991,
AK5,,1.0,,
AKAP12,,,0.7829585380605789,
AKAP5,,,0.2726327170771615,
AKNA,,1.0,1.0,
AKR1B1,0.17482517482517482,,0.1604110175538747,
AKR1C1,0.2331002331002331,,,
AKR7A2,,,0.22457542457542456,
ALCAM,,0.20938710412394626,,
